Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
1320-SSA-11V,Sound Tribe Sector 9,Ad Explorata,1320 Records,"2xLP, Album",,2009,2426095,Uncategorized,2017-02-25 22:48:37,,,
ONEFLTD005,Alix Perez,Ravana EP,1985 Music,"2x12"", EP, Red",,2020,15028786,Uncategorized,2022-12-15 06:21:17,,,
CAD 3131,Joker (5),The Vision,4AD,"2xLP, Album",,2011,3190650,Uncategorized,2014-03-16 22:09:49,,,
820REC02LPS,Pretty Lights,A Color Map Of The Sun,8 Minutes 20 Seconds Records,"2xLP, Album, RE",,2013,5010443,Uncategorized,2014-05-18 00:09:36,,,
AFTR12004,Phaeleh,The Cold In You (The Remixes),Afterglo,"12""",,2012,4002281,Uncategorized,2017-02-26 01:02:36,,,
"AFTRLP002, AFTRCD1004",Phaeleh,Tides,"Afterglo, Afterglo","2x12"", Album + CD, Album",,2013,4739024,Uncategorized,2017-02-25 22:49:15,,,
AB-VFS015,Dawl,Pump Up The Noise EP,Amen Brother (2),"12"", EP, Ltd, 180",,2022,23436698,Uncategorized,2023-01-13 16:31:59,Near Mint (NM or M-),Near Mint (NM or M-),
AM001,Bassnectar,Art Of Revolution,Amorphous Music,"12""",4,2009,1806760,Uncategorized,2013-07-19 15:45:07,,,
AM0012,Bassnectar,Vava Voom,Amorphous Music,"2x12"", Album",,2012,3612264,Uncategorized,2017-02-25 22:24:30,,,
AM016LP,Bassnectar,Noise Vs Beauty,Amorphous Music,"LP, Yel + LP, Blu + Album, Ltd",,2014,5858918,Uncategorized,2017-02-25 22:24:47,,,
ASYLUM13T,Kid Sister,Right Hand Hi,Asylum Records,"12"", Single",,2009,2046669,Uncategorized,2017-02-25 22:41:17,,,
BATA 12,DJ Science,Pizza Breaks,Battle Axe Records,"12""",,2003,8572548,Uncategorized,2023-01-24 15:01:47,,,
SMA 19,Tight Control,Sax Lick,Bear Necessities,"12""",,1996,227194,Uncategorized,2017-02-26 04:06:37,,,
BBEATS 002,Taiki & Nulight,Love Is The Feeling / Vigor,Benga Beats,"12""",,2012,4210444,Uncategorized,2013-08-04 00:06:25,,,
ACRE 033,Dark Sky (2),Black Rainbows EP,Black Acre,"2x12"", EP",,2012,3500692,Uncategorized,2017-02-25 22:55:40,,,
BLACKBOX001,DJ Madd,Someone,Black Box (5),"12""",,2009,2031580,Uncategorized,2013-08-08 16:02:19,,,
BLACKBOX014,DJ Madd,Blank Space EP,Black Box (5),"2x12"", EP",,2011,2955527,Uncategorized,2013-08-09 22:23:43,,,
BLKBXXX 02,Lurka,Tempted,Black Box (5),"12"", S/Sided, Ltd",,2011,2695219,Uncategorized,2014-05-18 00:09:49,,,
BLKBXXX11,Matt U,Frequency EP,Black Box (5),"2x12""",,2013,4609199,Uncategorized,2013-08-11 18:48:07,,,
BNR200,Boys Noize,+/-,Boysnoize Records,"2xLP, Album",,2022,24668696,Uncategorized,2022-12-22 09:29:51,,,
BWOOD0140LP,Mala (4),Mirrors,Brownswood Recordings,"3x12"", Album + CD, Album + Box, Ltd",,2016,8664079,Uncategorized,2022-12-31 09:30:00,,,
BWOOD090LP,Mala (4),Mala In Cuba,Brownswood Recordings,"Box, Album, Ltd + 4x12""",,2012,3852702,Uncategorized,2013-07-30 21:09:24,,,
BWOOD099,Mala (4),Noches Sueños (Mala + Simbad Super Dub Mix),Brownswood Recordings,"10"", S/Sided",5,2013,4687077,Uncategorized,2013-08-10 15:47:28,,,
"BWOOD0129EP, none",Swindle (2),Walter's Call,"Brownswood Recordings, Deep Medi Musik","12"", EP",,2014,6240609,Uncategorized,2017-02-25 22:23:34,,,
AIRMILES001,Swindle (2),"Airmiles (20,000 Miles Later)",Butterz,"12"", S/Sided",,2013,4325680,Uncategorized,2017-02-25 22:47:29,,,
"BR014, KAP012",040 (3),Let It Be Known / Minors,"Butterz, Kapsize","12""",5,2014,5473789,Uncategorized,2014-03-16 22:04:27,,,
CHST026,District (4),Transmission / LV-223,Chestplate,"12""",,2013,4493568,Uncategorized,2013-07-17 20:31:58,,,
CHST028,Sleeper (5),Systema / Species,Chestplate,"12""",,2013,4708573,Uncategorized,2013-07-17 20:34:31,,,
CHNSTRK007,D.J. Detweiler,LOS PIANITOS,Chin Stroke Records,"12"", EP",,2019,13396308,Uncategorized,2022-12-31 09:31:08,,,
CIRCLP001EP,Various,Circus One: A Circus Showcase Album Sampler,Circus Records (5),"2x12"", Smplr",,2011,2843744,Uncategorized,2013-07-17 20:38:43,,,
CIV044,Reso (2),Tangram,Civil Music,"2xLP, Album",,2012,4002285,Uncategorized,2013-08-09 17:11:02,,,
CIV054,Reso (2),Tangram Remixed,Civil Music,"12"", EP",,2013,4378358,Uncategorized,2013-07-16 13:39:53,,,
CBR007,Kromestar,Rhythm On My Mind / X Files,Cosmic Bridge,"10""",,2013,4742495,Uncategorized,2013-07-19 15:44:13,,,
"DATA025, DATA DISCS 025","Howard Drossin, Brian Coburn & Barry Blum",Sonic Spinball,"Data Discs, Data Discs","LP, Ltd, Cle",,2022,23861141,Uncategorized,2023-01-19 14:35:04,Mint (M),Mint (M),
medi-04,Mala (4),Changes / Forgive,Deep Medi Musik,"12"", RE, RP",,2012,3540583,Uncategorized,2013-07-17 20:44:00,,,
medi-64,Kahn (5),Dread / Late Night Blues,Deep Medi Musik,"12""",,2012,4056844,Uncategorized,2017-02-25 22:46:15,,,
medi-69,Mala (4),Changes (James Blake Harmonimix),Deep Medi Musik,"12"", S/Sided, W/Lbl",,2013,4553028,Uncategorized,2013-07-27 17:55:51,,,
medi-78,Gantz (2),Spry Sinister,Deep Medi Musik,"12""",,2014,5272649,Uncategorized,2017-02-25 22:48:07,,,
MEDI071,Commodo,Space Cash,Deep Medi Musik,"12""",5,2013,4766549,Uncategorized,2013-07-27 17:58:00,,,
Medi072,Silkie,The Lost Tapes,Deep Medi Musik,"2x12""",,2013,4788522,Uncategorized,2013-08-31 18:48:16,,,
